agent,lr,epsilon,poltype,num_recall,seed
dynaq,0.1,0.1,egreedy,10,0
dynaq,0.1,0.1,egreedy,10,1
dynaq,0.1,0.1,egreedy,10,2
dynaq,0.1,0.1,egreedy,10,3
dynaq,0.1,0.1,egreedy,10,4
dynaq,0.1,0.1,egreedy,10,5
dynaq,0.1,0.1,egreedy,10,6
dynaq,0.1,0.1,egreedy,10,7
dynaq,0.1,0.1,egreedy,10,8
dynaq,0.1,0.1,egreedy,10,9
dynaq,0.1,0.1,egreedy,30,0
dynaq,0.1,0.1,egreedy,30,1
dynaq,0.1,0.1,egreedy,30,2
dynaq,0.1,0.1,egreedy,30,3
dynaq,0.1,0.1,egreedy,30,4
dynaq,0.1,0.1,egreedy,30,5
dynaq,0.1,0.1,egreedy,30,6
dynaq,0.1,0.1,egreedy,30,7
dynaq,0.1,0.1,egreedy,30,8
dynaq,0.1,0.1,egreedy,30,9
dynaq,0.1,0.1,egreedy,100,0
dynaq,0.1,0.1,egreedy,100,1
dynaq,0.1,0.1,egreedy,100,2
dynaq,0.1,0.1,egreedy,100,3
dynaq,0.1,0.1,egreedy,100,4
dynaq,0.1,0.1,egreedy,100,5
dynaq,0.1,0.1,egreedy,100,6
dynaq,0.1,0.1,egreedy,100,7
dynaq,0.1,0.1,egreedy,100,8
dynaq,0.1,0.1,egreedy,100,9
dynaq,0.1,0.3,egreedy,10,0
dynaq,0.1,0.3,egreedy,10,1
dynaq,0.1,0.3,egreedy,10,2
dynaq,0.1,0.3,egreedy,10,3
dynaq,0.1,0.3,egreedy,10,4
dynaq,0.1,0.3,egreedy,10,5
dynaq,0.1,0.3,egreedy,10,6
dynaq,0.1,0.3,egreedy,10,7
dynaq,0.1,0.3,egreedy,10,8
dynaq,0.1,0.3,egreedy,10,9
dynaq,0.1,0.3,egreedy,30,0
dynaq,0.1,0.3,egreedy,30,1
dynaq,0.1,0.3,egreedy,30,2
dynaq,0.1,0.3,egreedy,30,3
dynaq,0.1,0.3,egreedy,30,4
dynaq,0.1,0.3,egreedy,30,5
dynaq,0.1,0.3,egreedy,30,6
dynaq,0.1,0.3,egreedy,30,7
dynaq,0.1,0.3,egreedy,30,8
dynaq,0.1,0.3,egreedy,30,9
dynaq,0.1,0.3,egreedy,100,0
dynaq,0.1,0.3,egreedy,100,1
dynaq,0.1,0.3,egreedy,100,2
dynaq,0.1,0.3,egreedy,100,3
dynaq,0.1,0.3,egreedy,100,4
dynaq,0.1,0.3,egreedy,100,5
dynaq,0.1,0.3,egreedy,100,6
dynaq,0.1,0.3,egreedy,100,7
dynaq,0.1,0.3,egreedy,100,8
dynaq,0.1,0.3,egreedy,100,9
dynaq,0.1,0.5,egreedy,10,0
dynaq,0.1,0.5,egreedy,10,1
dynaq,0.1,0.5,egreedy,10,2
dynaq,0.1,0.5,egreedy,10,3
dynaq,0.1,0.5,egreedy,10,4
dynaq,0.1,0.5,egreedy,10,5
dynaq,0.1,0.5,egreedy,10,6
dynaq,0.1,0.5,egreedy,10,7
dynaq,0.1,0.5,egreedy,10,8
dynaq,0.1,0.5,egreedy,10,9
dynaq,0.1,0.5,egreedy,30,0
dynaq,0.1,0.5,egreedy,30,1
dynaq,0.1,0.5,egreedy,30,2
dynaq,0.1,0.5,egreedy,30,3
dynaq,0.1,0.5,egreedy,30,4
dynaq,0.1,0.5,egreedy,30,5
dynaq,0.1,0.5,egreedy,30,6
dynaq,0.1,0.5,egreedy,30,7
dynaq,0.1,0.5,egreedy,30,8
dynaq,0.1,0.5,egreedy,30,9
dynaq,0.1,0.5,egreedy,100,0
dynaq,0.1,0.5,egreedy,100,1
dynaq,0.1,0.5,egreedy,100,2
dynaq,0.1,0.5,egreedy,100,3
dynaq,0.1,0.5,egreedy,100,4
dynaq,0.1,0.5,egreedy,100,5
dynaq,0.1,0.5,egreedy,100,6
dynaq,0.1,0.5,egreedy,100,7
dynaq,0.1,0.5,egreedy,100,8
dynaq,0.1,0.5,egreedy,100,9
dynaq,0.1,1.0,egreedy,10,0
dynaq,0.1,1.0,egreedy,10,1
dynaq,0.1,1.0,egreedy,10,2
dynaq,0.1,1.0,egreedy,10,3
dynaq,0.1,1.0,egreedy,10,4
dynaq,0.1,1.0,egreedy,10,5
dynaq,0.1,1.0,egreedy,10,6
dynaq,0.1,1.0,egreedy,10,7
dynaq,0.1,1.0,egreedy,10,8
dynaq,0.1,1.0,egreedy,10,9
dynaq,0.1,1.0,egreedy,30,0
dynaq,0.1,1.0,egreedy,30,1
dynaq,0.1,1.0,egreedy,30,2
dynaq,0.1,1.0,egreedy,30,3
dynaq,0.1,1.0,egreedy,30,4
dynaq,0.1,1.0,egreedy,30,5
dynaq,0.1,1.0,egreedy,30,6
dynaq,0.1,1.0,egreedy,30,7
dynaq,0.1,1.0,egreedy,30,8
dynaq,0.1,1.0,egreedy,30,9
dynaq,0.1,1.0,egreedy,100,0
dynaq,0.1,1.0,egreedy,100,1
dynaq,0.1,1.0,egreedy,100,2
dynaq,0.1,1.0,egreedy,100,3
dynaq,0.1,1.0,egreedy,100,4
dynaq,0.1,1.0,egreedy,100,5
dynaq,0.1,1.0,egreedy,100,6
dynaq,0.1,1.0,egreedy,100,7
dynaq,0.1,1.0,egreedy,100,8
dynaq,0.1,1.0,egreedy,100,9
dynasr,0.1,0.1,egreedy,10,0
dynasr,0.1,0.1,egreedy,10,1
dynasr,0.1,0.1,egreedy,10,2
dynasr,0.1,0.1,egreedy,10,3
dynasr,0.1,0.1,egreedy,10,4
dynasr,0.1,0.1,egreedy,10,5
dynasr,0.1,0.1,egreedy,10,6
dynasr,0.1,0.1,egreedy,10,7
dynasr,0.1,0.1,egreedy,10,8
dynasr,0.1,0.1,egreedy,10,9
dynasr,0.1,0.1,egreedy,30,0
dynasr,0.1,0.1,egreedy,30,1
dynasr,0.1,0.1,egreedy,30,2
dynasr,0.1,0.1,egreedy,30,3
dynasr,0.1,0.1,egreedy,30,4
dynasr,0.1,0.1,egreedy,30,5
dynasr,0.1,0.1,egreedy,30,6
dynasr,0.1,0.1,egreedy,30,7
dynasr,0.1,0.1,egreedy,30,8
dynasr,0.1,0.1,egreedy,30,9
dynasr,0.1,0.1,egreedy,100,0
dynasr,0.1,0.1,egreedy,100,1
dynasr,0.1,0.1,egreedy,100,2
dynasr,0.1,0.1,egreedy,100,3
dynasr,0.1,0.1,egreedy,100,4
dynasr,0.1,0.1,egreedy,100,5
dynasr,0.1,0.1,egreedy,100,6
dynasr,0.1,0.1,egreedy,100,7
dynasr,0.1,0.1,egreedy,100,8
dynasr,0.1,0.1,egreedy,100,9
dynasr,0.1,0.3,egreedy,10,0
dynasr,0.1,0.3,egreedy,10,1
dynasr,0.1,0.3,egreedy,10,2
dynasr,0.1,0.3,egreedy,10,3
dynasr,0.1,0.3,egreedy,10,4
