agent,lr,epsilon,poltype,num_recall,seed,condition
dynaq,0.1,0.1,egreedy,10,0,control
dynaq,0.1,0.1,egreedy,10,0,reward
dynaq,0.1,0.1,egreedy,10,0,transition
dynaq,0.1,0.1,egreedy,10,0,policy
dynaq,0.1,0.1,egreedy,10,1,control
dynaq,0.1,0.1,egreedy,10,1,reward
dynaq,0.1,0.1,egreedy,10,1,transition
dynaq,0.1,0.1,egreedy,10,1,policy
dynaq,0.1,0.1,egreedy,10,2,control
dynaq,0.1,0.1,egreedy,10,2,reward
dynaq,0.1,0.1,egreedy,10,2,transition
dynaq,0.1,0.1,egreedy,10,2,policy
dynaq,0.1,0.1,egreedy,10,3,control
dynaq,0.1,0.1,egreedy,10,3,reward
dynaq,0.1,0.1,egreedy,10,3,transition
dynaq,0.1,0.1,egreedy,10,3,policy
dynaq,0.1,0.1,egreedy,10,4,control
dynaq,0.1,0.1,egreedy,10,4,reward
dynaq,0.1,0.1,egreedy,10,4,transition
dynaq,0.1,0.1,egreedy,10,4,policy
dynaq,0.1,0.1,egreedy,10,5,control
dynaq,0.1,0.1,egreedy,10,5,reward
dynaq,0.1,0.1,egreedy,10,5,transition
dynaq,0.1,0.1,egreedy,10,5,policy
dynaq,0.1,0.1,egreedy,10,6,control
dynaq,0.1,0.1,egreedy,10,6,reward
dynaq,0.1,0.1,egreedy,10,6,transition
dynaq,0.1,0.1,egreedy,10,6,policy
dynaq,0.1,0.1,egreedy,10,7,control
dynaq,0.1,0.1,egreedy,10,7,reward
dynaq,0.1,0.1,egreedy,10,7,transition
dynaq,0.1,0.1,egreedy,10,7,policy
dynaq,0.1,0.1,egreedy,10,8,control
dynaq,0.1,0.1,egreedy,10,8,reward
dynaq,0.1,0.1,egreedy,10,8,transition
dynaq,0.1,0.1,egreedy,10,8,policy
dynaq,0.1,0.1,egreedy,10,9,control
dynaq,0.1,0.1,egreedy,10,9,reward
dynaq,0.1,0.1,egreedy,10,9,transition
dynaq,0.1,0.1,egreedy,10,9,policy
dynaq,0.1,0.1,egreedy,30,0,control
dynaq,0.1,0.1,egreedy,30,0,reward
dynaq,0.1,0.1,egreedy,30,0,transition
dynaq,0.1,0.1,egreedy,30,0,policy
dynaq,0.1,0.1,egreedy,30,1,control
dynaq,0.1,0.1,egreedy,30,1,reward
dynaq,0.1,0.1,egreedy,30,1,transition
dynaq,0.1,0.1,egreedy,30,1,policy
dynaq,0.1,0.1,egreedy,30,2,control
dynaq,0.1,0.1,egreedy,30,2,reward
dynaq,0.1,0.1,egreedy,30,2,transition
dynaq,0.1,0.1,egreedy,30,2,policy
dynaq,0.1,0.1,egreedy,30,3,control
