agent,lr,num_recall,seed,condition
mparsr,0.1,1,0,control
mparsr,0.1,1,0,reward
mparsr,0.1,1,0,transition
mparsr,0.1,3,0,control
mparsr,0.1,3,0,reward
mparsr,0.1,3,0,transition
mparsr,0.1,10,0,control
mparsr,0.1,10,0,reward
mparsr,0.1,10,0,transition
mparsr,0.1,30,0,control
mparsr,0.1,30,0,reward
mparsr,0.1,30,0,transition
mparsr,0.1,100,0,control
mparsr,0.1,100,0,reward
mparsr,0.1,100,0,transition
qparsr,0.1,1,0,control
qparsr,0.1,1,0,reward
qparsr,0.1,1,0,transition
qparsr,0.1,3,0,control
qparsr,0.1,3,0,reward
qparsr,0.1,3,0,transition
qparsr,0.1,10,0,control
qparsr,0.1,10,0,reward
qparsr,0.1,10,0,transition
qparsr,0.1,30,0,control
qparsr,0.1,30,0,reward
qparsr,0.1,30,0,transition
qparsr,0.1,100,0,control
qparsr,0.1,100,0,reward
qparsr,0.1,100,0,transition
dynasr,0.1,1,0,control
dynasr,0.1,1,0,reward
dynasr,0.1,1,0,transition
dynasr,0.1,3,0,control
dynasr,0.1,3,0,reward
dynasr,0.1,3,0,transition
dynasr,0.1,10,0,control
dynasr,0.1,10,0,reward
dynasr,0.1,10,0,transition
dynasr,0.1,30,0,control
dynasr,0.1,30,0,reward
dynasr,0.1,30,0,transition
dynasr,0.1,100,0,control
dynasr,0.1,100,0,reward
dynasr,0.1,100,0,transition
mparsr_nosweep,0.1,1,0,control
mparsr_nosweep,0.1,1,0,reward
mparsr_nosweep,0.1,1,0,transition
mparsr_nosweep,0.1,3,0,control
mparsr_nosweep,0.1,3,0,reward
mparsr_nosweep,0.1,3,0,transition
mparsr_nosweep,0.1,10,0,control
mparsr_nosweep,0.1,10,0,reward
mparsr_nosweep,0.1,10,0,transition
mparsr_nosweep,0.1,30,0,control
mparsr_nosweep,0.1,30,0,reward
mparsr_nosweep,0.1,30,0,transition
mparsr_nosweep,0.1,100,0,control
mparsr_nosweep,0.1,100,0,reward
mparsr_nosweep,0.1,100,0,transition
qparsr_nosweep,0.1,1,0,control
qparsr_nosweep,0.1,1,0,reward
qparsr_nosweep,0.1,1,0,transition
qparsr_nosweep,0.1,3,0,control
qparsr_nosweep,0.1,3,0,reward
qparsr_nosweep,0.1,3,0,transition
qparsr_nosweep,0.1,10,0,control
qparsr_nosweep,0.1,10,0,reward
qparsr_nosweep,0.1,10,0,transition
qparsr_nosweep,0.1,30,0,control
qparsr_nosweep,0.1,30,0,reward
qparsr_nosweep,0.1,30,0,transition
qparsr_nosweep,0.1,100,0,control
qparsr_nosweep,0.1,100,0,reward
qparsr_nosweep,0.1,100,0,transition
