,agent,lr,num_recall,seed
0,dynasr,0.1,100,0
1,dynasr,0.1,100,1
2,dynasr,0.1,100,2
3,dynasr,0.1,100,3
4,dynasr,0.1,100,4
5,dynasr,0.1,100,5
6,dynasr,0.1,100,6
7,dynasr,0.1,100,7
8,dynasr,0.1,100,8
9,dynasr,0.1,100,9
10,dynasr,0.1,300,0
11,dynasr,0.1,300,1
12,dynasr,0.1,300,2
13,dynasr,0.1,300,3
14,dynasr,0.1,300,4
15,dynasr,0.1,300,5
16,dynasr,0.1,300,6
17,dynasr,0.1,300,7
18,dynasr,0.1,300,8
19,dynasr,0.1,300,9
20,dynasr,0.1,1000,0
21,dynasr,0.1,1000,1
22,dynasr,0.1,1000,2
23,dynasr,0.1,1000,3
24,dynasr,0.1,1000,4
25,dynasr,0.1,1000,5
26,dynasr,0.1,1000,6
27,dynasr,0.1,1000,7
28,dynasr,0.1,1000,8
29,dynasr,0.1,1000,9
30,dynasr,0.1,3000,0
31,dynasr,0.1,3000,1
32,dynasr,0.1,3000,2
33,dynasr,0.1,3000,3
34,dynasr,0.1,3000,4
35,dynasr,0.1,3000,5
36,dynasr,0.1,3000,6
37,dynasr,0.1,3000,7
38,dynasr,0.1,3000,8
39,dynasr,0.1,3000,9
40,dynasr,0.1,10000,0
41,dynasr,0.1,10000,1
42,dynasr,0.1,10000,2
43,dynasr,0.1,10000,3
44,dynasr,0.1,10000,4
45,dynasr,0.1,10000,5
46,dynasr,0.1,10000,6
47,dynasr,0.1,10000,7
48,dynasr,0.1,10000,8
49,dynasr,0.1,10000,9
50,dynasr,0.3,100,0
51,dynasr,0.3,100,1
52,dynasr,0.3,100,2
53,dynasr,0.3,100,3
54,dynasr,0.3,100,4
55,dynasr,0.3,100,5
56,dynasr,0.3,100,6
57,dynasr,0.3,100,7
58,dynasr,0.3,100,8
59,dynasr,0.3,100,9
60,dynasr,0.3,300,0
61,dynasr,0.3,300,1
62,dynasr,0.3,300,2
63,dynasr,0.3,300,3
64,dynasr,0.3,300,4
65,dynasr,0.3,300,5
66,dynasr,0.3,300,6
67,dynasr,0.3,300,7
68,dynasr,0.3,300,8
69,dynasr,0.3,300,9
70,dynasr,0.3,1000,0
71,dynasr,0.3,1000,1
72,dynasr,0.3,1000,2
73,dynasr,0.3,1000,3
74,dynasr,0.3,1000,4
75,dynasr,0.3,1000,5
76,dynasr,0.3,1000,6
77,dynasr,0.3,1000,7
78,dynasr,0.3,1000,8
79,dynasr,0.3,1000,9
80,dynasr,0.3,3000,0
81,dynasr,0.3,3000,1
82,dynasr,0.3,3000,2
83,dynasr,0.3,3000,3
84,dynasr,0.3,3000,4
85,dynasr,0.3,3000,5
86,dynasr,0.3,3000,6
87,dynasr,0.3,3000,7
88,dynasr,0.3,3000,8
89,dynasr,0.3,3000,9
90,dynasr,0.3,10000,0
91,dynasr,0.3,10000,1
92,dynasr,0.3,10000,2
93,dynasr,0.3,10000,3
94,dynasr,0.3,10000,4
95,dynasr,0.3,10000,5
96,dynasr,0.3,10000,6
97,dynasr,0.3,10000,7
98,dynasr,0.3,10000,8
99,dynasr,0.3,10000,9
100,dynasr,0.5,100,0
101,dynasr,0.5,100,1
102,dynasr,0.5,100,2
103,dynasr,0.5,100,3
104,dynasr,0.5,100,4
105,dynasr,0.5,100,5
106,dynasr,0.5,100,6
107,dynasr,0.5,100,7
108,dynasr,0.5,100,8
109,dynasr,0.5,100,9
110,dynasr,0.5,300,0
111,dynasr,0.5,300,1
112,dynasr,0.5,300,2
113,dynasr,0.5,300,3
114,dynasr,0.5,300,4
115,dynasr,0.5,300,5
116,dynasr,0.5,300,6
117,dynasr,0.5,300,7
118,dynasr,0.5,300,8
119,dynasr,0.5,300,9
120,dynasr,0.5,1000,0
121,dynasr,0.5,1000,1
122,dynasr,0.5,1000,2
123,dynasr,0.5,1000,3
124,dynasr,0.5,1000,4
125,dynasr,0.5,1000,5
126,dynasr,0.5,1000,6
127,dynasr,0.5,1000,7
128,dynasr,0.5,1000,8
129,dynasr,0.5,1000,9
130,dynasr,0.5,3000,0
131,dynasr,0.5,3000,1
132,dynasr,0.5,3000,2
133,dynasr,0.5,3000,3
134,dynasr,0.5,3000,4
135,dynasr,0.5,3000,5
136,dynasr,0.5,3000,6
137,dynasr,0.5,3000,7
138,dynasr,0.5,3000,8
139,dynasr,0.5,3000,9
140,dynasr,0.5,10000,0
141,dynasr,0.5,10000,1
142,dynasr,0.5,10000,2
143,dynasr,0.5,10000,3
144,dynasr,0.5,10000,4
145,dynasr,0.5,10000,5
146,dynasr,0.5,10000,6
147,dynasr,0.5,10000,7
148,dynasr,0.5,10000,8
149,dynasr,0.5,10000,9
150,dynasr,0.7,100,0
151,dynasr,0.7,100,1
152,dynasr,0.7,100,2
153,dynasr,0.7,100,3
154,dynasr,0.7,100,4
155,dynasr,0.7,100,5
156,dynasr,0.7,100,6
157,dynasr,0.7,100,7
158,dynasr,0.7,100,8
159,dynasr,0.7,100,9
160,dynasr,0.7,300,0
161,dynasr,0.7,300,1
162,dynasr,0.7,300,2
163,dynasr,0.7,300,3
164,dynasr,0.7,300,4
165,dynasr,0.7,300,5
166,dynasr,0.7,300,6
167,dynasr,0.7,300,7
168,dynasr,0.7,300,8
169,dynasr,0.7,300,9
170,dynasr,0.7,1000,0
171,dynasr,0.7,1000,1
172,dynasr,0.7,1000,2
173,dynasr,0.7,1000,3
174,dynasr,0.7,1000,4
175,dynasr,0.7,1000,5
176,dynasr,0.7,1000,6
