,agent,lr,num_recall,seed
0,mparsr,0.1,100,0
1,mparsr,0.1,100,1
2,mparsr,0.1,100,2
3,mparsr,0.1,100,3
4,mparsr,0.1,100,4
5,mparsr,0.1,100,5
6,mparsr,0.1,100,6
7,mparsr,0.1,100,7
8,mparsr,0.1,100,8
9,mparsr,0.1,100,9
10,mparsr,0.1,300,0
11,mparsr,0.1,300,1
12,mparsr,0.1,300,2
13,mparsr,0.1,300,3
14,mparsr,0.1,300,4
15,mparsr,0.1,300,5
16,mparsr,0.1,300,6
17,mparsr,0.1,300,7
18,mparsr,0.1,300,8
19,mparsr,0.1,300,9
20,mparsr,0.1,1000,0
21,mparsr,0.1,1000,1
22,mparsr,0.1,1000,2
23,mparsr,0.1,1000,3
24,mparsr,0.1,1000,4
25,mparsr,0.1,1000,5
26,mparsr,0.1,1000,6
27,mparsr,0.1,1000,7
28,mparsr,0.1,1000,8
29,mparsr,0.1,1000,9
30,mparsr,0.1,3000,0
31,mparsr,0.1,3000,1
32,mparsr,0.1,3000,2
33,mparsr,0.1,3000,3
34,mparsr,0.1,3000,4
35,mparsr,0.1,3000,5
36,mparsr,0.1,3000,6
37,mparsr,0.1,3000,7
38,mparsr,0.1,3000,8
39,mparsr,0.1,3000,9
40,mparsr,0.1,10000,0
41,mparsr,0.1,10000,1
42,mparsr,0.1,10000,2
43,mparsr,0.1,10000,3
44,mparsr,0.1,10000,4
45,mparsr,0.1,10000,5
46,mparsr,0.1,10000,6
47,mparsr,0.1,10000,7
48,mparsr,0.1,10000,8
49,mparsr,0.1,10000,9
50,mparsr,0.3,100,0
51,mparsr,0.3,100,1
52,mparsr,0.3,100,2
53,mparsr,0.3,100,3
54,mparsr,0.3,100,4
55,mparsr,0.3,100,5
56,mparsr,0.3,100,6
57,mparsr,0.3,100,7
58,mparsr,0.3,100,8
59,mparsr,0.3,100,9
60,mparsr,0.3,300,0
61,mparsr,0.3,300,1
62,mparsr,0.3,300,2
63,mparsr,0.3,300,3
64,mparsr,0.3,300,4
65,mparsr,0.3,300,5
66,mparsr,0.3,300,6
67,mparsr,0.3,300,7
68,mparsr,0.3,300,8
69,mparsr,0.3,300,9
70,mparsr,0.3,1000,0
71,mparsr,0.3,1000,1
72,mparsr,0.3,1000,2
73,mparsr,0.3,1000,3
74,mparsr,0.3,1000,4
75,mparsr,0.3,1000,5
76,mparsr,0.3,1000,6
77,mparsr,0.3,1000,7
78,mparsr,0.3,1000,8
79,mparsr,0.3,1000,9
80,mparsr,0.3,3000,0
81,mparsr,0.3,3000,1
82,mparsr,0.3,3000,2
83,mparsr,0.3,3000,3
84,mparsr,0.3,3000,4
85,mparsr,0.3,3000,5
86,mparsr,0.3,3000,6
87,mparsr,0.3,3000,7
88,mparsr,0.3,3000,8
89,mparsr,0.3,3000,9
90,mparsr,0.3,10000,0
91,mparsr,0.3,10000,1
92,mparsr,0.3,10000,2
93,mparsr,0.3,10000,3
94,mparsr,0.3,10000,4
95,mparsr,0.3,10000,5
96,mparsr,0.3,10000,6
97,mparsr,0.3,10000,7
98,mparsr,0.3,10000,8
99,mparsr,0.3,10000,9
100,mparsr,0.5,100,0
101,mparsr,0.5,100,1
102,mparsr,0.5,100,2
103,mparsr,0.5,100,3
104,mparsr,0.5,100,4
105,mparsr,0.5,100,5
106,mparsr,0.5,100,6
107,mparsr,0.5,100,7
108,mparsr,0.5,100,8
109,mparsr,0.5,100,9
110,mparsr,0.5,300,0
111,mparsr,0.5,300,1
112,mparsr,0.5,300,2
113,mparsr,0.5,300,3
114,mparsr,0.5,300,4
115,mparsr,0.5,300,5
116,mparsr,0.5,300,6
117,mparsr,0.5,300,7
118,mparsr,0.5,300,8
119,mparsr,0.5,300,9
120,mparsr,0.5,1000,0
121,mparsr,0.5,1000,1
122,mparsr,0.5,1000,2
123,mparsr,0.5,1000,3
124,mparsr,0.5,1000,4
125,mparsr,0.5,1000,5
126,mparsr,0.5,1000,6
127,mparsr,0.5,1000,7
128,mparsr,0.5,1000,8
129,mparsr,0.5,1000,9
130,mparsr,0.5,3000,0
131,mparsr,0.5,3000,1
132,mparsr,0.5,3000,2
133,mparsr,0.5,3000,3
134,mparsr,0.5,3000,4
135,mparsr,0.5,3000,5
136,mparsr,0.5,3000,6
137,mparsr,0.5,3000,7
138,mparsr,0.5,3000,8
139,mparsr,0.5,3000,9
140,mparsr,0.5,10000,0
141,mparsr,0.5,10000,1
142,mparsr,0.5,10000,2
143,mparsr,0.5,10000,3
144,mparsr,0.5,10000,4
145,mparsr,0.5,10000,5
146,mparsr,0.5,10000,6
147,mparsr,0.5,10000,7
148,mparsr,0.5,10000,8
149,mparsr,0.5,10000,9
150,mparsr,0.7,100,0
151,mparsr,0.7,100,1
152,mparsr,0.7,100,2
153,mparsr,0.7,100,3
154,mparsr,0.7,100,4
155,mparsr,0.7,100,5
156,mparsr,0.7,100,6
157,mparsr,0.7,100,7
158,mparsr,0.7,100,8
159,mparsr,0.7,100,9
160,mparsr,0.7,300,0
161,mparsr,0.7,300,1
162,mparsr,0.7,300,2
163,mparsr,0.7,300,3
164,mparsr,0.7,300,4
165,mparsr,0.7,300,5
166,mparsr,0.7,300,6
167,mparsr,0.7,300,7
168,mparsr,0.7,300,8
169,mparsr,0.7,300,9
170,mparsr,0.7,1000,0
171,mparsr,0.7,1000,1
172,mparsr,0.7,1000,2
173,mparsr,0.7,1000,3
174,mparsr,0.7,1000,4
175,mparsr,0.7,1000,5
176,mparsr,0.7,1000,6
177,mparsr,0.7,1000,7
178,mparsr,0.7,1000,8
179,mparsr,0.7,1000,9
180,mparsr,0.7,3000,0
181,mparsr,0.7,3000,1
182,mparsr,0.7,3000,2
183,mparsr,0.7,3000,3
184,mparsr,0.7,3000,4
185,mparsr,0.7,3000,5
186,mparsr,0.7,3000,6
187,mparsr,0.7,3000,7
188,mparsr,0.7,3000,8
189,mparsr,0.7,3000,9
190,mparsr,0.7,10000,0
191,mparsr,0.7,10000,1
192,mparsr,0.7,10000,2
193,mparsr,0.7,10000,3
194,mparsr,0.7,10000,4
195,mparsr,0.7,10000,5
196,mparsr,0.7,10000,6
197,mparsr,0.7,10000,7
198,mparsr,0.7,10000,8
199,mparsr,0.7,10000,9
200,mparsr,0.9,100,0
201,mparsr,0.9,100,1
202,mparsr,0.9,100,2
203,mparsr,0.9,100,3
204,mparsr,0.9,100,4
205,mparsr,0.9,100,5
206,mparsr,0.9,100,6
207,mparsr,0.9,100,7
208,mparsr,0.9,100,8
209,mparsr,0.9,100,9
210,mparsr,0.9,300,0
211,mparsr,0.9,300,1
212,mparsr,0.9,300,2
213,mparsr,0.9,300,3
214,mparsr,0.9,300,4
215,mparsr,0.9,300,5
216,mparsr,0.9,300,6
217,mparsr,0.9,300,7
218,mparsr,0.9,300,8
219,mparsr,0.9,300,9
220,mparsr,0.9,1000,0
221,mparsr,0.9,1000,1
222,mparsr,0.9,1000,2
223,mparsr,0.9,1000,3
224,mparsr,0.9,1000,4
225,mparsr,0.9,1000,5
226,mparsr,0.9,1000,6
227,mparsr,0.9,1000,7
228,mparsr,0.9,1000,8
229,mparsr,0.9,1000,9
230,mparsr,0.9,3000,0
231,mparsr,0.9,3000,1
232,mparsr,0.9,3000,2
233,mparsr,0.9,3000,3
234,mparsr,0.9,3000,4
235,mparsr,0.9,3000,5
236,mparsr,0.9,3000,6
237,mparsr,0.9,3000,7
238,mparsr,0.9,3000,8
239,mparsr,0.9,3000,9
240,mparsr,0.9,10000,0
241,mparsr,0.9,10000,1
242,mparsr,0.9,10000,2
243,mparsr,0.9,10000,3
244,mparsr,0.9,10000,4
245,mparsr,0.9,10000,5
246,mparsr,0.9,10000,6
247,mparsr,0.9,10000,7
248,mparsr,0.9,10000,8
249,mparsr,0.9,10000,9
250,qparsr,0.1,100,0
251,qparsr,0.1,100,1
252,qparsr,0.1,100,2
253,qparsr,0.1,100,3
254,qparsr,0.1,100,4
255,qparsr,0.1,100,5
256,qparsr,0.1,100,6
257,qparsr,0.1,100,7
258,qparsr,0.1,100,8
259,qparsr,0.1,100,9
260,qparsr,0.1,300,0
261,qparsr,0.1,300,1
262,qparsr,0.1,300,2
263,qparsr,0.1,300,3
264,qparsr,0.1,300,4
265,qparsr,0.1,300,5
266,qparsr,0.1,300,6
267,qparsr,0.1,300,7
268,qparsr,0.1,300,8
269,qparsr,0.1,300,9
270,qparsr,0.1,1000,0
271,qparsr,0.1,1000,1
272,qparsr,0.1,1000,2
273,qparsr,0.1,1000,3
274,qparsr,0.1,1000,4
275,qparsr,0.1,1000,5
276,qparsr,0.1,1000,6
277,qparsr,0.1,1000,7
278,qparsr,0.1,1000,8
279,qparsr,0.1,1000,9
280,qparsr,0.1,3000,0
281,qparsr,0.1,3000,1
282,qparsr,0.1,3000,2
283,qparsr,0.1,3000,3
284,qparsr,0.1,3000,4
285,qparsr,0.1,3000,5
286,qparsr,0.1,3000,6
287,qparsr,0.1,3000,7
288,qparsr,0.1,3000,8
289,qparsr,0.1,3000,9
290,qparsr,0.1,10000,0
291,qparsr,0.1,10000,1
292,qparsr,0.1,10000,2
293,qparsr,0.1,10000,3
294,qparsr,0.1,10000,4
295,qparsr,0.1,10000,5
296,qparsr,0.1,10000,6
297,qparsr,0.1,10000,7
298,qparsr,0.1,10000,8
299,qparsr,0.1,10000,9
300,qparsr,0.3,100,0
301,qparsr,0.3,100,1
302,qparsr,0.3,100,2
303,qparsr,0.3,100,3
304,qparsr,0.3,100,4
305,qparsr,0.3,100,5
306,qparsr,0.3,100,6
307,qparsr,0.3,100,7
308,qparsr,0.3,100,8
309,qparsr,0.3,100,9
310,qparsr,0.3,300,0
311,qparsr,0.3,300,1
312,qparsr,0.3,300,2
313,qparsr,0.3,300,3
314,qparsr,0.3,300,4
315,qparsr,0.3,300,5
316,qparsr,0.3,300,6
317,qparsr,0.3,300,7
318,qparsr,0.3,300,8
319,qparsr,0.3,300,9
320,qparsr,0.3,1000,0
321,qparsr,0.3,1000,1
322,qparsr,0.3,1000,2
323,qparsr,0.3,1000,3
324,qparsr,0.3,1000,4
325,qparsr,0.3,1000,5
326,qparsr,0.3,1000,6
327,qparsr,0.3,1000,7
328,qparsr,0.3,1000,8
329,qparsr,0.3,1000,9
330,qparsr,0.3,3000,0
331,qparsr,0.3,3000,1
332,qparsr,0.3,3000,2
333,qparsr,0.3,3000,3
334,qparsr,0.3,3000,4
335,qparsr,0.3,3000,5
336,qparsr,0.3,3000,6
337,qparsr,0.3,3000,7
338,qparsr,0.3,3000,8
339,qparsr,0.3,3000,9
340,qparsr,0.3,10000,0
341,qparsr,0.3,10000,1
342,qparsr,0.3,10000,2
343,qparsr,0.3,10000,3
344,qparsr,0.3,10000,4
345,qparsr,0.3,10000,5
346,qparsr,0.3,10000,6
347,qparsr,0.3,10000,7
348,qparsr,0.3,10000,8
349,qparsr,0.3,10000,9
350,qparsr,0.5,100,0
351,qparsr,0.5,100,1
352,qparsr,0.5,100,2
353,qparsr,0.5,100,3
354,qparsr,0.5,100,4
